week,lakes,gr,po,tqg,dm1,dm2,dm3,dm4,seas1,seas2,seas3,seas4,seas5,seas6,seas7,seas8,seas9,seas10,seas11,seas12
64,0,0.35,0,26690,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65,0,0.35,0,21723,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,0,0.35,0,30625,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
67,0,0.35,0,36618.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
68,0,0.3,0,42182,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
69,0,0.25,0,47432,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,0,0.3,1,43822,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
71,0,0.3,1,36457.63,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,0,0.3,1,29093.34,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,1,0.3,1,21729,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74,1,0.3,1,21265,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75,1,0.3,1,18505,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76,1,0.3,0,14540,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,1,0.3,0,19366,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,1,0.25,0,55732,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,1,0.15,0,42346,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,1,0.15,0,28960,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,1,0.15,0,30434,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
82,1,0.15,0,26139,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83,1,0.15,0,31075,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84,1,0.15,0,29433,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,1,0.15,0,29136,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,1,0.15,0,31126,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,1,0.15,0,35384,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88,1,0.15,0,36701,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
89,1,0.15,0,37771,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,1,0.15,0,38247,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,1,0.15,0,39518,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,1,0.15,0,30603,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,1,0.125,0,28383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94,1,0.125,0,24678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
95,1,0.125,0,27839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,1,0.125,0,26767,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,1,0.125,0,24041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,1,0.2,0,23355,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,1,0.2,0,26491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,1,0.2,0,20900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,0,0.2,0,26410,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0.2,0,26195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0.2,0,22427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0.125,0,27535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0.125,0,25738,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,0,0.125,0,23429,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,0,0.125,0,32745,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,0,0.125,0,37950,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,0,0.2,1,41466,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,0,0.2,1,49276,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,0,0.2,1,37850,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
112,0,0.2,1,32893,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,0,0.2,1,24410,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
114,0,0.2,1,15104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115,0,0.2,1,13819,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116,0,0.25,1,22959,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117,0,0.25,1,14486,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
118,0,0.25,1,15254,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
119,0,0.25,1,16607,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
120,1,0.25,1,17475,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
121,1,0.25,1,12704,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
122,1,0.25,1,14399,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
123,1,0.25,1,12023,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
124,1,0.25,1,9626,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
125,1,0.25,1,6482,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
126,1,0.25,1,10520,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
127,1,0.25,1,12588,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
128,1,0.25,1,12468,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
129,1,0.25,1,10930,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,1,0.25,1,10997,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
131,1,0.25,1,8618,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
132,1,0.25,1,4810,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
133,1,0.25,1,5832,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
134,1,0.25,1,8536,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
135,1,0.25,1,11204,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
136,1,0.25,1,10591,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
137,1,0.25,1,9978,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
138,1,0.25,1,9374,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
139,1,0.25,1,19466,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
140,1,0.25,1,23085,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
141,1,0.25,1,18981,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,1,0.25,1,16595,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
143,1,0.25,1,13182,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
144,1,0.25,1,11626,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
145,1,0.25,1,12996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
146,1,0.25,1,14852,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
147,1,0.25,1,11508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
148,1,0.25,1,12996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
149,1,0.25,1,17942,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,1,0.25,1,15498,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,1,0.25,1,18121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,1,0.25,1,17914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,0,0.3,1,21217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0.3,1,22418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0.3,1,26230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0.3,1,26458,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0.3,1,36168,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
158,0,0.3,1,30721,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
159,0,0.3,1,41071,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
160,0,0.3,1,28865,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
161,0,0.3,1,29221,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
162,0,0.3,1,22245,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
163,0,0.3,1,20377,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
164,0,0.3,0,36343,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
165,0,0.3,1,33227,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
166,0,0.3,1,33806,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
167,0,0.3,1,43998,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
168,0,0.3,1,45342,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
169,0,0.3,1,45659,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
170,0,0.3,1,30864,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
171,0,0.3,1,16522,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
172,1,0.3,1,20085,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
173,1,0.25,0,18262,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
174,1,0.25,0,19415,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
175,1,0.25,1,22792,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
176,1,0.25,1,23903,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
177,1,0.25,1,14761,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
178,1,0.25,1,10901,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
179,1,0.25,1,14868,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
180,1,0.25,1,17271,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
181,1,0.25,1,16179,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
182,1,0.25,1,15576,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
183,1,0.25,1,12292,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
184,1,0.25,1,7627,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
185,1,0.25,1,9888,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
186,1,0.25,1,11080,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
187,1,0.25,1,13782,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
188,1,0.25,1,15181,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
189,1,0.25,1,11906,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
190,1,0.25,1,14763,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
191,1,0.25,1,22934,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
192,1,0.25,0,23252,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
193,1,0.2,0,25164,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
194,1,0.2,1,33879,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
195,1,0.25,1,32428,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
196,1,0.25,1,31256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
197,1,0.25,1,27805,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
198,1,0.25,1,34663,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
199,1,0.25,1,30187,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
200,1,0.25,1,27277,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
201,1,0.25,1,29521,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
202,1,0.25,1,31280,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
203,1,0.25,1,30601,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
204,1,0.25,1,31553,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
205,0,0.3,1,42735,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
206,0,0.3,1,28241,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
207,0,0.3,1,29221,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
208,0,0.3,1,27894,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,0.3,1,21911,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
210,0,0.3,1,16685,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
211,0,0.2,1,23504,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
212,0,0.3,1,41210,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
213,0,0.3,1,35058,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
214,0,0.3,1,27065,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
215,0,0.3,0,29404,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
216,0,0.3,0,25269,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
217,0,0.3,0,29219,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
218,0,0.3,0,29291,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
219,0,0.3,0,29217,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
220,0,0.3,0,32643,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
221,0,0.2,0,37902,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
222,0,0.15,0,53282,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
223,0,0.15,0,70793,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
224,0,0.15,0,76407,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
225,0,0.15,0,65944,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
226,0,0.15,0,51242,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
227,1,0.15,0,42464,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
228,1,0.15,0,36603,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
229,1,0.15,0,32376,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
230,1,0.15,0,37927,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
231,1,0.15,0,37905,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
232,1,0.15,0,34782,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
233,1,0.15,0,43146,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
234,1,0.15,1,38104,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
235,1,0.2,1,41901,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
236,1,0.2,1,25829,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
237,1,0.2,1,15480,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
238,1,0.2,1,18461,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
239,1,0.25,0,20716,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
240,1,0.25,0,14492,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
241,1,0.25,0,13004,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
242,1,0.25,0,16754,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
243,1,0.25,0,23268,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
244,1,0.15,0,18972,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
245,1,0.15,0,15531,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
246,1,0.15,0,17154,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
247,1,0.15,0,23416,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
248,1,0.15,0,26541,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
249,1,0.15,1,33592,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
250,1,0.25,1,36235,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
251,1,0.25,1,22372,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
252,1,0.25,1,23876,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
253,1,0.25,1,31600,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
254,1,0.25,0,31419,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
255,1,0.25,1,27814,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
256,1,0.25,1,32530,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
257,1,0.25,1,33624,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
258,0,0.25,1,34718,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
259,0,0.25,1,35812,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0.25,1,26844,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
261,0,0.25,1,16938,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
262,0,0.2,1,19362,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
263,0,0.2,0,29761,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
264,0,0.2,0,43777,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
265,0,0.2,0,32995,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
266,0,0.2,1,50340,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
267,0,0.25,1,52131,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
268,0,0.25,1,30913,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
269,0,0.25,1,22887,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
270,0,0.25,1,30911,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
271,0,0.25,0,36354,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
272,0,0.2,0,38989,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
273,0,0.2,0,47087,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
274,0,0.2,0,44805,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
275,0,0.2,0,46694,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
276,0,0.2,0,54188,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
277,0,0.2,0,40650,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
278,0,0.2,0,34674,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
279,0,0.2,0,27430,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
280,0,0.15,0,53360,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
281,1,0.15,0,43018,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
282,1,0.15,0,33691,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
283,1,0.15,0,27424,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
284,1,0.15,0,30120,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
285,1,0.15,0,30488,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
286,1,0.15,0,31223,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
287,1,0.15,0,21562,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
288,1,0.15,0,24892,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
289,1,0.15,0,20864,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
290,1,0.15,0,19128,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
291,1,0.2,0,9778,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
292,1,0.2,0,7528,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
293,1,0.2,0,15773,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
294,1,0.15,0,10737,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
295,1,0.15,0,20881,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
296,1,0.15,0,20970,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
297,1,0.15,0,22835,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
298,1,0.15,0,30986,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
299,1,0.15,0,35308,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
300,1,0.15,0,40034,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
301,1,0.15,0,44776,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
302,1,0.2,0,36288,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
303,1,0.2,0,27158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
304,1,0.2,0,14622,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
305,1,0.2,0,15259,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
306,1,0.2,0,14680,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
307,1,0.2,0,15114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
